seed	test_ap	log_path
0	0.796431	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_0.log
1	0.799940	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_1.log
2	0.796371	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_2.log
3	0.803853	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_3.log
4	0.791052	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_4.log
5	0.797579	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_5.log
6	0.795235	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_6.log
7	0.799095	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_7.log
8	0.810484	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_8.log
9	0.785200	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_9.log
10	0.811820	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_2gpu_20260402_080338/seed_10.log
